year,gdp,pop
1270,3517.7756499706784,4.364903152768993
1271,3481.222222999625,4.371750530229456
1272,3611.8921261865344,4.378608649412346
1273,3406.873982868784,4.385477527168581
1274,3394.2097198007727,4.392357180375515
1275,3879.7339118718846,4.399247625936976
1276,3414.3137963780805,4.406148880783313
1277,3645.879868866838,4.413060961871431
1278,3780.0023599792426,4.419983886184837
1279,3137.4591015678557,4.426917670733694
1280,3187.3760411751637,4.455484393150739
1281,3389.514116851698,4.484235455483353
1282,3290.1865189732302,4.513172047269628
1283,3130.2095033775295,4.542295365723696
1284,3239.4520915230173,4.571606615785267
1285,3282.5166387800755,4.601107010169476
1286,3238.336172645388,4.63079776941706
1287,3547.235246486014,4.660680121944861
1288,3441.497085480696,4.690755304096639
1289,3177.762744268496,4.721024560194235
1290,3225.140193869309,4.751489142589051
1291,3231.3509503904415,4.748977115264539
1292,3403.053172518472,4.746466416003944
1293,3483.2309155268936,4.743957044105142
1294,3456.8999001222405,4.741448998866379
1295,3701.981343611217,4.738942279586275
1296,3849.8271845143217,4.73643688556382
1297,3683.4811616776387,4.733932816098372
1298,3874.317046823825,4.7314300704896635
1299,3731.0192441670238,4.728928648037794
1300,3705.247226875285,4.726428548043234
1301,3731.189579313185,4.7239297698068246
1302,3827.503547241744,4.721432312629776
1303,3986.0829324024926,4.718936175813667
1304,3605.6782768245944,4.716441358660447
1305,3705.503810156606,4.713947860472433
1306,3598.401468964886,4.711455680552312
1307,3771.924181976978,4.708964818203141
1308,3816.136022364461,4.706475272728341
1309,3910.13880982328,4.703987043431707
1310,3857.9761463132345,4.701500129617396
1311,3993.569497630985,4.699014530589939
1312,3887.6589359206087,4.6965302456542295
1313,3956.5378172439014,4.694047274115532
1314,3957.419006137383,4.691565615279476
1315,3555.6718477194327,4.689085268452064
1316,3356.1716697666134,4.6282919693199505
1317,3510.6626475497005,4.56828684634753
1318,3873.321178050894,4.5090596809471055
1319,3889.5919148712605,4.450600387013459
1320,3761.672657931875,4.392899009206242
1321,3180.90037649919,4.335945721254624
1322,3347.0589203820587,4.279730824283928
1323,3471.8782154735813,4.224244745163958
1324,3162.990576447294,4.169478034878737
1325,3422.8904779018067,4.115421366917394
1326,3488.0441940706746,4.143572347385061
1327,3449.154666645701,4.171915890808168
1328,3223.2495561579776,4.2004533143874365
1329,3411.395281855427,4.229185944333722
1330,3342.788006794636,4.258115115929642
1331,3205.4863867185113,4.287242173591639
1332,3394.4957915469063,4.316568470932448
1333,3517.461217082013,4.3460953708240115
1334,3422.2298648468013,4.37582424546081
1335,3298.9937113799356,4.405756476423634
1336,3476.2539466469793,4.435893454743791
1337,3876.230824256455,4.466236580967749
1338,3975.567587747393,4.496787265222222
1339,3264.751616870713,4.527546927279706
1340,3680.0389151847526,4.558516996624457
1341,3741.0091447012815,4.589698912518923
1342,3939.9128571724755,4.621094124070632
1343,3853.652294454868,4.652704090299535
1344,4140.208297760805,4.684530280205811
1345,3879.3844815337034,4.716574172838135
1346,3708.715929932088,4.748837257362412
1347,3877.3955044474496,4.781321033130986
1348,4000.3821228396455,4.814027009752324
1349,3061.664483771597,3.922101179743146
1350,2840.7248397095977,3.1954282003361696
1351,2673.6477905236397,2.603390610176033
1352,2767.411925081801,2.599336091618526
1353,2771.40563098448,2.5952878875651395
1354,2650.311628619925,2.5912459881816683
1355,2727.284700551991,2.5872103836492246
1356,2686.02200114071,2.583181064164213
1357,2732.7315863639697,2.5791580199383044
1358,2742.675733522146,2.5751412411984154
1359,2768.294073102054,2.5711307181866827
1360,2745.526781268567,2.56712644116044
1361,2645.145826253959,2.563128400392195
1362,2571.810332713332,2.559136586169603
1363,2493.0817020924164,2.5551509887954476
1364,2765.475960128866,2.5511715985876133
1365,2638.260730220689,2.547198405879064
1366,2713.758963872014,2.543231401017819
1367,2542.8037581527124,2.5392705743669293
1368,2521.440408483696,2.5353159163044556
1369,2350.8238764342896,2.5313674172234424
1370,2630.223733215241,2.527425067531897
1371,2541.160281717893,2.5234888576527648
1372,2294.9041906379616,2.519558778023906
1373,2481.0497954259463,2.5156348190980746
1374,2278.376750756028,2.5117169713428913
1375,2194.030696405501,2.5078052252408245
1376,2531.89185172201,2.503899571289163
1377,2602.5296778150287,2.5
1378,2554.7084332457916,2.480214236660023
1379,2327.131101623589,2.4605850638924234
1380,2413.836602096221,2.4411112423916
1381,2457.540117378145,2.4217915426601926
1382,2522.9610399681796,2.4026247449314595
1383,2393.1268210096077,2.3836096390922643
1384,2686.8206128607626,2.364745024606677
1385,2430.566360972143,2.3460297104401744
1386,2697.7252074848398,2.327462514984444
1387,2698.284644376842,2.309042265982784
1388,2477.0682263493486,2.290767800456088
1389,2545.530256921866,2.2726379646294217
1390,2369.6416517972657,2.2546516138591794
1391,2637.395862666511,2.236807612560813
1392,2951.7776072329866,2.2191048341371378
1393,2426.811708842335,2.201542160907203
1394,2651.5204363109588,2.184118484035726
1395,2524.8732191839918,2.1668327034630854
1396,2527.156659220194,2.149683727835868
1397,2458.7783256443513,2.1326704744379636
1398,2618.5672421699455,2.1157918691222086
1399,2501.017610072551,2.0990468462425684
1400,2418.861155235668,2.0824343485868537
1401,2385.90388992034,2.080298342478475
1402,2447.6761834071076,2.078164527326127
1403,2485.729373226315,2.0760329008824905
1404,2526.3551574357034,2.073903460902551
1405,2528.7079317815396,2.0717762051435966
1406,2343.5126060263633,2.0696511313652164
1407,2344.9543545897636,2.0675282373292965
1408,2168.0202594885036,2.0654075208000204
1409,2242.084146232987,2.063288979543863
1410,2380.8166689555537,2.0611726113295914
